"Date","Currency","Mean","Buy","Sell"
"11/04/2023","US DOLLAR","133.5882","133.4882","133.6882"
"06/04/2023","US DOLLAR","133.3000","133.2000","133.4000"
"05/04/2023","US DOLLAR","132.9412","132.8412","133.0412"
"04/04/2023","US DOLLAR","132.6735","132.5735","132.7735"
"03/04/2023","US DOLLAR","132.5206","132.4206","132.6206"
"31/03/2023","US DOLLAR","132.3324","132.2324","132.4324"
"30/03/2023","US DOLLAR","132.1265","132.0265","132.2265"
"29/03/2023","US DOLLAR","131.7765","131.6765","131.8765"
"28/03/2023","US DOLLAR","131.5294","131.4294","131.6294"
"27/03/2023","US DOLLAR","131.3971","131.2971","131.4971"
"24/03/2023","US DOLLAR","131.2735","131.1735","131.3735"
"23/03/2023","US DOLLAR","130.9941","130.8941","131.0941"
"22/03/2023","US DOLLAR","130.6176","130.5176","130.7176"
"21/03/2023","US DOLLAR","130.3206","130.2206","130.4206"
"20/03/2023","US DOLLAR","130.0088","129.9088","130.1088"
"17/03/2023","US DOLLAR","129.8824","129.7824","129.9824"
"16/03/2023","US DOLLAR","129.7618","129.6618","129.8618"
"15/03/2023","US DOLLAR","129.5882","129.4882","129.6882"
"14/03/2023","US DOLLAR","129.4529","129.3529","129.5529"
"13/03/2023","US DOLLAR","129.2412","129.1412","129.3412"
"10/03/2023","US DOLLAR","128.8882","128.7882","128.9882"
"09/03/2023","US DOLLAR","128.5912","128.4912","128.6912"
"08/03/2023","US DOLLAR","128.3618","128.2618","128.4618"
"07/03/2023","US DOLLAR","128.1088","128.0088","128.2088"
"06/03/2023","US DOLLAR","127.7559","127.6559","127.8559"
"03/03/2023","US DOLLAR","127.5441","127.4441","127.6441"
"02/03/2023","US DOLLAR","127.2941","127.1941","127.3941"
"01/03/2023","US DOLLAR","127.0794","126.9794","127.1794"
"28/02/2023","US DOLLAR","126.8529","126.7529","126.9529"
"27/02/2023","US DOLLAR","126.6147","126.5147","126.7147"
"24/02/2023","US DOLLAR","126.4294","126.3294","126.5294"
"23/02/2023","US DOLLAR","126.2676","126.1676","126.3676"
"22/02/2023","US DOLLAR","126.0794","125.9794","126.1794"
"21/02/2023","US DOLLAR","125.9353","125.8353","126.0353"
"20/02/2023","US DOLLAR","125.7706","125.6706","125.8706"
"17/02/2023","US DOLLAR","125.6265","125.5265","125.7265"
"16/02/2023","US DOLLAR","125.5235","125.4235","125.6235"
"15/02/2023","US DOLLAR","125.3824","125.2824","125.4824"
"14/02/2023","US DOLLAR","125.2735","125.1735","125.3735"
"13/02/2023","US DOLLAR","125.1882","125.0882","125.2882"
"10/02/2023","US DOLLAR","125.0765","124.9765","125.1765"
"09/02/2023","US DOLLAR","124.9824","124.8824","125.0824"
"08/02/2023","US DOLLAR","124.8794","124.7794","124.9794"
"07/02/2023","US DOLLAR","124.8000","124.7000","124.9000"
"06/02/2023","US DOLLAR","124.6618","124.5618","124.7618"
"03/02/2023","US DOLLAR","124.5941","124.4941","124.6941"
"02/02/2023","US DOLLAR","124.5235","124.4235","124.6235"
"01/02/2023","US DOLLAR","124.4765","124.3765","124.5765"
"31/01/2023","US DOLLAR","124.4029","124.3029","124.5029"
"30/01/2023","US DOLLAR","124.3912","124.2912","124.4912"
"27/01/2023","US DOLLAR","124.3500","124.2500","124.4500"
"26/01/2023","US DOLLAR","124.3000","124.2000","124.4000"
"25/01/2023","US DOLLAR","124.2471","124.1471","124.3471"
"24/01/2023","US DOLLAR","124.1735","124.0735","124.2735"
"23/01/2023","US DOLLAR","124.1265","124.0265","124.2265"
"20/01/2023","US DOLLAR","124.0941","123.9941","124.1941"
"19/01/2023","US DOLLAR","124.0500","123.9500","124.1500"
"18/01/2023","US DOLLAR","124.0088","123.9088","124.1088"
"17/01/2023","US DOLLAR","123.9441","123.8441","124.0441"
"16/01/2023","US DOLLAR","123.8912","123.7912","123.9912"
"13/01/2023","US DOLLAR","123.8353","123.7353","123.9353"
"12/01/2023","US DOLLAR","123.7794","123.6794","123.8794"
"11/01/2023","US DOLLAR","123.7176","123.6176","123.8176"
"10/01/2023","US DOLLAR","123.6471","123.5471","123.7471"
"09/01/2023","US DOLLAR","123.5882","123.4882","123.6882"
"06/01/2023","US DOLLAR","123.5471","123.4471","123.6471"
"05/01/2023","US DOLLAR","123.4824","123.3824","123.5824"
"04/01/2023","US DOLLAR","123.4412","123.3412","123.5412"
"03/01/2023","US DOLLAR","123.4235","123.3235","123.5235"
"30/12/2022","US DOLLAR","123.3735","123.2735","123.4735"
"29/12/2022","US DOLLAR","123.3294","123.2294","123.4294"
"28/12/2022","US DOLLAR","123.2588","123.1588","123.3588"
"23/12/2022","US DOLLAR","123.2088","123.1088","123.3088"
"22/12/2022","US DOLLAR","123.1647","123.0647","123.2647"
"21/12/2022","US DOLLAR","123.1441","123.0441","123.2441"
"20/12/2022","US DOLLAR","123.0941","122.9941","123.1941"
"19/12/2022","US DOLLAR","123.0471","122.9471","123.1471"
"16/12/2022","US DOLLAR","122.9882","122.8882","123.0882"
"15/12/2022","US DOLLAR","122.9412","122.8412","123.0412"
"14/12/2022","US DOLLAR","122.8971","122.7971","122.9971"
"13/12/2022","US DOLLAR","122.8382","122.7382","122.9382"
"09/12/2022","US DOLLAR","122.7912","122.6912","122.8912"
"08/12/2022","US DOLLAR","122.7382","122.6382","122.8382"
"07/12/2022","US DOLLAR","122.6853","122.5853","122.7853"
"06/12/2022","US DOLLAR","122.6324","122.5324","122.7324"
"05/12/2022","US DOLLAR","122.5912","122.4912","122.6912"
"02/12/2022","US DOLLAR","122.5324","122.4324","122.6324"
